age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
34.0,blue-collar,single,secondary,no,13408.0,no,no,cellular,1.0,apr,647.0,2.0,-1.0,0.0,unknown,no
49.0,management,divorced,tertiary,no,20727.0,no,no,cellular,1.0,apr,285.0,3.0,132.0,2.0,failure,no
32.0,services,single,tertiary,no,1743.0,yes,no,cellular,1.0,apr,1156.0,1.0,261.0,3.0,other,no
46.0,management,divorced,tertiary,no,10469.0,yes,no,cellular,1.0,apr,202.0,2.0,-1.0,0.0,unknown,no
26.0,management,single,tertiary,no,7628.0,no,no,cellular,1.0,apr,263.0,1.0,-1.0,0.0,unknown,no
54.0,retired,married,secondary,no,1004.0,yes,no,cellular,1.0,apr,479.0,1.0,307.0,1.0,failure,no
32.0,technician,single,tertiary,no,392.0,yes,no,cellular,1.0,apr,957.0,2.0,131.0,2.0,failure,no
37.0,management,married,secondary,no,1180.0,yes,yes,cellular,1.0,apr,786.0,1.0,135.0,1.0,other,no
33.0,admin.,single,secondary,no,285.0,yes,no,cellular,,apr,427.0,1.0,329.0,1.0,other,no
46.0,self-employed,divorced,tertiary,no,926.0,yes,no,cellular,1.0,apr,463.0,1.0,133.0,3.0,failure,no
44.0,services,married,secondary,no,5780.0,yes,no,cellular,1.0,apr,525.0,2.0,-1.0,0.0,unknown,no
49.0,admin.,married,primary,no,686.0,yes,yes,cellular,1.0,apr,286.0,2.0,225.0,4.0,other,no
39.0,technician,divorced,secondary,no,688.0,yes,yes,cellular,1.0,apr,233.0,2.0,133.0,1.0,failure,no
35.0,technician,married,secondary,no,0.0,no,no,cellular,1.0,apr,295.0,1.0,303.0,1.0,other,no
46.0,services,married,secondary,no,184.0,yes,no,cellular,1.0,apr,836.0,1.0,-1.0,0.0,unknown,no
52.0,admin.,divorced,secondary,no,1256.0,yes,no,cellular,1.0,apr,498.0,3.0,-1.0,0.0,unknown,no
37.0,management,single,tertiary,no,457.0,yes,no,cellular,1.0,apr,510.0,3.0,-1.0,0.0,unknown,no
61.0,management,married,tertiary,no,0.0,yes,yes,cellular,1.0,apr,158.0,1.0,115.0,2.0,failure,no
41.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,1.0,apr,625.0,2.0,-1.0,0.0,unknown,no
26.0,admin.,single,secondary,no,274.0,no,no,cellular,1.0,apr,351.0,3.0,-1.0,0.0,unknown,yes
38.0,blue-collar,single,tertiary,no,172.0,yes,no,cellular,1.0,apr,1176.0,1.0,-1.0,0.0,unknown,yes
46.0,management,divorced,tertiary,no,507.0,yes,no,cellular,1.0,apr,1196.0,1.0,-1.0,0.0,unknown,yes
27.0,technician,single,tertiary,no,393.0,no,no,cellular,1.0,apr,165.0,2.0,-1.0,0.0,unknown,yes
63.0,self-employed,married,tertiary,no,-39.0,no,no,cellular,1.0,apr,387.0,2.0,-1.0,0.0,unknown,yes
19.0,student,single,unknown,no,779.0,no,no,cellular,1.0,apr,184.0,4.0,-1.0,0.0,unknown,yes
26.0,management,single,tertiary,no,3.0,yes,yes,cellular,1.0,apr,149.0,1.0,350.0,1.0,success,yes
50.0,technician,divorced,secondary,no,0.0,no,no,cellular,1.0,apr,280.0,1.0,184.0,3.0,success,yes
84.0,retired,married,secondary,no,81204.0,no,no,telephone,1.0,apr,390.0,1.0,94.0,3.0,success,yes
86.0,retired,married,primary,no,5236.0,no,no,telephone,1.0,apr,558.0,2.0,-1.0,0.0,unknown,yes
46.0,management,married,unknown,no,2466.0,no,no,telephone,1.0,apr,216.0,3.0,370.0,1.0,failure,yes
45.0,technician,married,secondary,no,1348.0,no,yes,cellular,1.0,apr,358.0,2.0,-1.0,0.0,unknown,yes
60.0,blue-collar,married,primary,no,7929.0,no,no,unknown,1.0,apr,111.0,1.0,-1.0,0.0,unknown,yes
52.0,management,married,tertiary,no,-2712.0,yes,yes,cellular,2.0,apr,253.0,1.0,-1.0,0.0,unknown,no
45.0,management,married,tertiary,no,753.0,yes,no,cellular,2.0,apr,2870.0,2.0,-1.0,0.0,unknown,no
35.0,management,single,tertiary,no,4348.0,yes,no,cellular,2.0,apr,1074.0,3.0,217.0,8.0,failure,no
33.0,blue-collar,married,secondary,no,3576.0,yes,no,cellular,2.0,apr,124.0,1.0,308.0,2.0,other,no
39.0,technician,married,secondary,no,508.0,yes,no,cellular,2.0,apr,598.0,2.0,135.0,5.0,failure,no
53.0,blue-collar,married,primary,no,1409.0,yes,no,cellular,2.0,apr,464.0,1.0,287.0,1.0,failure,no
38.0,management,single,unknown,no,715.0,yes,no,cellular,2.0,apr,951.0,1.0,132.0,3.0,failure,no
36.0,technician,married,secondary,no,4613.0,no,no,cellular,2.0,apr,320.0,1.0,134.0,2.0,failure,no
40.0,management,married,primary,no,738.0,yes,yes,cellular,2.0,apr,399.0,2.0,258.0,3.0,failure,no
38.0,blue-collar,married,unknown,no,0.0,yes,no,cellular,2.0,apr,477.0,2.0,267.0,1.0,failure,no
35.0,self-employed,married,tertiary,no,1250.0,yes,no,cellular,2.0,apr,361.0,1.0,136.0,1.0,other,no
57.0,management,married,tertiary,no,1631.0,yes,no,cellular,2.0,apr,254.0,2.0,261.0,3.0,failure,no
30.0,management,single,tertiary,no,0.0,yes,no,cellular,2.0,apr,293.0,2.0,314.0,2.0,failure,no
45.0,admin.,single,tertiary,no,1683.0,yes,no,cellular,2.0,apr,277.0,1.0,-1.0,0.0,unknown,no
39.0,technician,divorced,tertiary,no,113.0,yes,yes,cellular,2.0,apr,1012.0,2.0,-1.0,0.0,unknown,no
41.0,services,married,unknown,no,1236.0,yes,no,cellular,2.0,apr,229.0,2.0,-1.0,0.0,unknown,no
36.0,technician,married,secondary,no,0.0,no,no,cellular,2.0,apr,748.0,1.0,-1.0,0.0,unknown,no
34.0,admin.,married,secondary,no,1474.0,no,no,cellular,2.0,apr,739.0,2.0,-1.0,0.0,unknown,yes
32.0,admin.,single,secondary,no,471.0,no,yes,cellular,2.0,apr,243.0,3.0,-1.0,0.0,unknown,yes
33.0,management,single,tertiary,no,3161.0,yes,no,cellular,2.0,apr,313.0,3.0,-1.0,0.0,unknown,yes
47.0,blue-collar,married,secondary,no,1612.0,yes,no,cellular,2.0,apr,1164.0,1.0,-1.0,0.0,unknown,yes
48.0,admin.,divorced,secondary,no,4099.0,no,no,cellular,2.0,apr,397.0,2.0,-1.0,0.0,unknown,yes
58.0,unknown,married,unknown,no,68.0,no,no,cellular,2.0,apr,268.0,1.0,-1.0,0.0,unknown,yes
48.0,admin.,married,primary,no,4459.0,yes,no,cellular,3.0,apr,439.0,2.0,240.0,1.0,failure,no
56.0,retired,married,secondary,no,3948.0,no,no,cellular,3.0,apr,484.0,1.0,135.0,3.0,failure,no
44.0,blue-collar,married,primary,no,612.0,yes,yes,cellular,3.0,,1091.0,1.0,135.0,1.0,failure,no
41.0,blue-collar,married,secondary,no,4910.0,yes,no,cellular,3.0,apr,1090.0,1.0,-1.0,0.0,unknown,no
37.0,admin.,married,secondary,no,1335.0,yes,no,telephone,3.0,apr,309.0,4.0,262.0,4.0,other,no
39.0,entrepreneur,married,secondary,no,10200.0,yes,no,cellular,3.0,apr,57.0,4.0,-1.0,0.0,unknown,no
35.0,admin.,married,secondary,no,3187.0,yes,no,cellular,3.0,apr,445.0,1.0,135.0,3.0,failure,no
42.0,entrepreneur,married,tertiary,no,2249.0,yes,no,telephone,3.0,apr,362.0,2.0,136.0,6.0,failure,no
44.0,entrepreneur,single,tertiary,no,1136.0,yes,yes,cellular,3.0,apr,345.0,2.0,249.0,7.0,other,no
43.0,unemployed,married,secondary,no,1943.0,yes,no,cellular,3.0,apr,273.0,2.0,136.0,2.0,failure,no
36.0,technician,divorced,secondary,no,666.0,yes,yes,cellular,3.0,apr,190.0,1.0,133.0,1.0,other,no
40.0,entrepreneur,married,tertiary,no,2644.0,yes,no,cellular,3.0,apr,235.0,1.0,133.0,3.0,failure,no
33.0,admin.,married,tertiary,no,1636.0,yes,yes,cellular,3.0,apr,105.0,1.0,136.0,1.0,failure,no
24.0,services,single,secondary,no,496.0,yes,no,cellular,3.0,apr,297.0,1.0,323.0,2.0,failure,no
37.0,management,married,tertiary,no,489.0,yes,no,cellular,,apr,246.0,2.0,133.0,6.0,failure,no
54.0,management,married,secondary,no,1150.0,no,no,cellular,3.0,apr,660.0,1.0,-1.0,0.0,unknown,no
42.0,blue-collar,married,secondary,no,1297.0,yes,no,cellular,3.0,apr,697.0,2.0,-1.0,0.0,unknown,no
49.0,technician,married,tertiary,no,523.0,yes,no,cellular,3.0,apr,203.0,1.0,31.0,2.0,success,no
39.0,technician,married,tertiary,no,2869.0,no,no,cellular,3.0,apr,115.0,1.0,-1.0,0.0,unknown,no
